video_id,original_length,condition,unsilence_length,silence_length,silencelen_norm
B_0,35.8186666666667,B,12.7514375,23.0672291666667,0.219917590066262
B_1,45.6746666666667,B,26.481,19.1936666666667,0.152689784740567
B_2,63.8293333333333,B,29.2460833333333,34.58325,0.4197844585394
B_3,28.3093333333333,B,14.6844166666667,13.6249166666667,0.056041069015065
B_4,102.293333333333,B,34.3184375,67.9748958333333,0.999314817372616
B_5,36.544,B,16.203375,20.340625,0.172595876755351
B_6,37.952,B,18.4541666666667,19.4978333333333,0.157968764349966
B_7,71.4026666666667,B,40.4893125,30.9133541666667,0.356091400108327
B_8,39.6586666666667,B,25.3096458333333,14.3490208333333,0.068608294650947
B_9,51.2853333333333,B,21.7315625,29.5537708333333,0.332495084402206
B_10,40.8533333333333,B,20.48875,20.3645833333333,0.173011686793078
B_11,47.4026666666667,B,30.93275,16.4699166666667,0.105417607060238
B_12,60.9066666666667,B,33.3699791666667,27.5366875,0.297487494965083
B_13,41.28,B,23.4298125,17.8501875,0.129372965694587
B_14,74.6666666666667,B,33.2140833333333,41.4525833333333,0.539005512556378
B_15,26.688,B,13.3245,13.3635,0.051504039142549
B_16,63.0613333333333,B,22.9990416666667,40.0622916666667,0.514876236854075
B_17,66.7093333333333,B,38.2349791666667,28.4743541666667,0.313761215119865
B_18,29.2906666666667,B,16.6710208333333,12.6196458333333,0.038594041406002
B_19,71.1253333333333,B,37.2507708333333,33.8745625,0.407484797623447
B_20,38.2933333333333,B,17.09075,21.2025833333333,0.187555637190918
B_21,59.3066666666667,B,34.3275208333333,24.9791458333333,0.253099954224738
B_22,74.2613333333333,B,52.0541041666667,22.2072291666667,0.204991817581605
B_23,56.8533333333333,B,36.5989791666667,20.2543541666667,0.171098599045589
B_24,75.1573333333333,B,42.9051666666667,32.2521666666667,0.379327226590437
B_25,81.152,B,39.6041666666667,41.5478333333333,0.540658628636801
B_26,47.5946666666667,B,24.9744791666667,22.6201875,0.212158936336229
B_27,62.272,B,34.8252708333333,27.4467291666667,0.295926218666906
B_28,26.2186666666667,B,15.82275,10.3959166666667,0
B_29,76.928,B,50.4320833333333,26.4959166666667,0.279424345352292
B_30,74.496,B,46.3310625,28.1649375,0.308391118876112
B_31,71.1466666666667,B,41.1179166666667,30.02875,0.340738608793623
B_32,69.5893333333333,B,36.5803958333333,33.0089375,0.392461400173411
B_33,50.8373333333333,B,27.1559166666667,23.6814166666667,0.230577151563843
B_34,53.8453333333333,B,29.7447708333333,24.1005625,0.237851657780384
B_35,81.8346666666667,B,45.2156666666667,36.619,0.455116018232005
B_36,36.224,B,21.444625,14.779375,0.076077327650355
B_37,82.3893333333333,B,49.02975,33.3595833333333,0.398547051255999
B_38,37.76,B,23.2476458333333,14.5123541666667,0.071443034386405
B_39,45.3333333333333,B,30.7754583333333,14.557875,0.072233073458086
